a1241.dscv.akamai.net,AMN,UF,UF
nielsen.com,AMN,UF,UF
nielsencollections.com,AMN,UF,UF
fp-keyos.licensekeyserver.com,AMN,UF,UF
live-oneapp-prd-news.akamaized.net,AMN,UF,UF
nmrodam.com,AMN,UF,UF
ln-0002.ln-msedge.net,AMN,UF,UF
mgln.ai,AMN,UF,UF
msnbc.com,AMN,UF,UF
Nbc.com,AMN,UF,UF
nbcnews.com,AMN,UF,UF
us-east-1.elasticbeanstalk.com,AMN,UF,UF
nbcuni.com,AMN,UF,UF
nbcu-peacock-prod.map.fastly.net,AMN,UF,UF
prodamdnewsencoding.akamaized.net,AMN,UF,UF
s-usc1a-nss-2010.firebaseio.com,AMN,UF,UF
nmrodam.com,AMN,UF,UF
sp-gw.adobepass.com,AMN,UF,UF
tls13.taboola.map.fastly.net,AMN,UF,UF
us-east-1.elb.amazonaws.com,AMN,UF,UF
s-nbcnews.com,AMN,UF,UF
a1241.dscv.akamai.net,AMN,UF,UF
nielsen.com,AMN,UF,UF
nielsencollections.com,AMN,UF,UF